GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Fibra (g),Acido Fólico (µg),Calcio (mg),Hierro (mg),sodio (mg),Azúcar por equivalente (g),indice glicémuco,Carga glicémica
CEREALES SIN GRASA,Tortilla de maíz,1,pieza,30,30,64,1.4,0.5,13.6,0.6,0.0,58.8,0.8,0.0,ND,52.0,15.6
CEREALES SIN GRASA,Tortilla de maíz amarillo,1,pieza,32,32,68,1.5,0.6,14.5,0.7,0.0,62.7,0.8,0.0,ND,ND,ND
CEREALES SIN GRASA,Tortilla de maíz azul o negro,1,pieza,32,32,70,1.6,0.9,14.1,0.3,0.0,40.0,0.8,0.2,ND,ND,ND
CEREALES SIN GRASA,Tortilla de mapiz blanco,1,pieza,30,30,67,1.8,0.5,14.2,1.3,0.0,32.4,0.8,0.0,ND,52.0,15.6
CEREALES SIN GRASA,Tortilla de maíz y soya,1,pieza,33,33,75,2.2,1.4,13.8,0.7,0.0,42.2,1.6,0.0,ND,ND,ND
CEREALES SIN GRASA,Tortilla de maíz y trigo,1,pieza,32,32,73,3.2,0.5,14.9,1.4,0.0,32.6,0.7,0.0,ND,ND,ND
CEREALES SIN GRASA,Tortilla de nopal,3,pieza,69,69,60,3.2,1.2,13.1,9.0,0.0,135.2,1.8,0.0,ND,ND,ND
CEREALES SIN GRASA,Tostada de maíz horneada,2,pieza,20,20,73,2.0,1.3,16.0,2.0,0.0,0.0,0.0,0.0,ND,ND,ND
CEREALES SIN GRASA,Tpstada de nopal horneada,2,pieza,20,20,67,1.3,1.3,15.3,2.7,0.0,0.0,0.0,0.0,ND,ND,ND
CEREALES SIN GRASA,Trigo,1 1/2,cucharada,21,21,71,2.2,0.5,15.4,0.7,0.0,12.2,0.2,0.6,ND,ND,ND
CEREALES SIN GRASA,Trigo cocido,1 1/2,cucharada,21,21,70,2.2,0.5,15.1,0.7,0.0,12.0,0.2,0.6,ND,ND,ND
CEREALES SIN GRASA,Trigo entero,2,cucharada,19,19,63,2.0,0.5,13.8,0.6,0.0,10.9,0.2,0.6,ND,ND,ND
CEREALES SIN GRASA,Trigo negro,20,g,20,20,69,2.3,0.5,13.8,2.1,0.0,63.8,0.0,64.0,ND,ND,ND
CEREALES SIN GRASA,trigo triturado,1 1/2,cucharada,20,20,66,2.1,0.5,14.3,0.6,0.0,11.3,0.2,0.6,ND,ND,ND
CEREALES SIN GRASA,Yuca,1/4,pieza,88,60,72,0.6,0.4,16.8,0.7,0.0,30.9,1.4,4.8,ND,ND,ND
CEREALES SIN GRASA,Yuquilla,150,g,150,129,68,5.3,0.0,12.4,1.5,0.0,65.8,15.7,0.0,ND,ND,ND
